"Apparent Polar Wander Paths - source: Torsvik et al. (2012), and Van der Voo et al. (2015, plate data for 601)",,,,
Plate ID,Age,A95,Plat,Plon
701,0,1.9,88.5,173.9
701,10,1.8,86.6,170
701,20,2.6,84.2,175.6
701,30,2.6,82.9,180.3
701,40,2.9,80.5,189
701,50,2.8,75.5,205.6
701,60,2.1,72.9,215.3
701,70,2.5,71.7,223.3
701,80,2.9,70.6,229.2
701,90,2.5,69.4,235.6
701,100,3.3,67,243.2
701,110,3.3,58.2,258.7
701,120,2.6,53.6,261.3
701,130,2.8,49.3,260.9
701,140,6,45.8,262.1
701,150,6.4,53.1,257.2
701,160,5.1,55.4,255.9
701,170,4.6,55.9,253.9
701,180,3.4,62.1,258.5
701,190,2.9,66.8,256.6
701,200,2.8,69,242.2
701,210,2.2,64.6,236.3
701,220,2.3,58.4,130.4
701,230,2.5,53,230
701,240,3.6,48.3,236.1
701,250,3.6,44.7,240.7
701,260,2.6,44.3,241.8
701,270,2.9,39.8,240.1
701,280,2.8,34.4,237.1
701,290,2.4,32.9,235.4
701,300,2.8,31.3,233.5
701,310,3.9,28,228.5
701,320,4.9,25.1,221.8
701,330,0,23,220.3
701,340,0,21.7,216.3
701,350,0,19.4,211.4
701,360,0,15.2,204.4
701,370,0,7.8,196.6
701,380,0,4.3,193.2
701,390,0,9.1,193.3
701,400,0,19.8,193.4
701,410,0,31,189.8
701,420,0,28.9,182.7
701,430,0,14.7,175.3
701,440,0,-3.1,170.4
701,450,0,-20.5,167.8
701,460,0,-30.5,169.5
701,470,0,-33.2,178.6
701,480,0,-31.1,186.8
701,490,0,-34.3,192.9
701,500,0,-30.7,190.7
701,510,0,-19.9,184
701,520,0,-9.3,171
701,530,0,-4.2,158.9
701,540,0,1.3,148.6
701,550,0,7.5,133.4
401,320,0,29.4,169.2
401,330,0,24.7,166
401,340,0,20.1,161.6
401,350,0,15.6,156.1
401,360,0,11.1,149.4
401,370,0,6.8,141.5
401,380,0,2.6,133.2
401,390,0,-1.3,125.3
401,400,0,-4.7,118.4
401,410,0,-7.4,114.1
401,420,0,-10,112.3
401,430,0,-12.1,114.3
401,440,0,-13.9,120.9
401,450,0,-16.5,132.9
401,460,0,-21.8,148
401,470,0,-31.1,152.1
401,480,0,-38,143.3
401,490,0,-38.9,137.3
401,500,0,-39,134.4
401,510,0,-42.3,138.4
401,520,0,-43.6,142.8
401,530,0,-45.8,147.8
401,537,0,-49.1,160.7
101,320,0,25.8,118.7
101,330,0,20.1,125.1
101,340,0,17.7,125.7
101,350,0,16.3,123.3
101,360,0,14.9,121
101,370,0,13.1,118.6
101,380,0,9.7,113.7
101,390,0,5.8,109.5
101,400,0,4.2,108.3
101,410,0,9.2,115
101,420,0,14.2,121.9
101,430,0,18.8,133.2
101,440,0,18.8,141.2
101,450,0,17.8,145.2
101,460,0,16.8,148.3
101,470,0,15.7,150.7
101,480,0,13.9,155.8
101,490,0,8.5,160.9
101,500,0,2.4,164.2
101,510,0,-3.8,169.4
101,520,0,-9.1,176.7
101,530,0,-9.4,180.3
301,320,0,29.6,157.9
301,330,0,18.2,154.6
301,340,0,9.3,153.1
301,350,0,2.5,151.2
301,360,0,-2,149.7
301,370,0,-4.6,147.3
301,380,0,-5.9,144.6
301,390,0,-5.9,141.7
301,400,0,-4.7,139.2
301,410,0,0.2,142.5
301,420,0,12.9,160.1
301,430,0,19.8,175.5
301,440,0,17,189.7
301,450,0,6.5,204.5
301,460,0,-7,218.1
301,470,0,-17.8,228.7
301,480,0,-27.8,238.8
301,490,0,-34.7,252
301,500,0,-40.3,265.1
301,510,0,-46.7,273.3
301,520,0,-54.5,278.6
301,530,0,-63.5,282
102,320,0,29.9,103.9
102,330,0,20.1,125.1
102,340,0,17.7,125.7
102,350,0,16.3,123.3
102,360,0,14.9,121
102,370,0,13.1,118.6
102,380,0,9.7,113.7
102,390,0,5.8,109.5
102,400,0,4.2,108.3
102,410,0,9.2,115
102,420,0,14.2,121.9
102,430,0,18.8,133.2
102,440,0,18.8,141.2
102,450,0,17.8,145.2
102,460,0,16.8,148.3
102,470,0,15.7,150.7
102,480,0,13.9,155.8
102,490,0,8.5,160.9
102,500,0,2.4,164.2
102,510,0,-3.8,169.4
102,520,0,-9.1,176.7
102,530,0,-9.4,180.3
601,120,4.1,78,162.5
601,130,6.6,81.1,168
601,150,5.1,72.3,177
601,160,4.7,74.7,174.3
601,170,9.6,78,160.7
601,180,3.3,84.2,106
601,210,16,68.4,42.1
601,240,9.6,59.1,23.5
601,250,7.1,56.5,18